#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
11,Russia,"22,285,908","+13,438","396,137                                ",+37,"21,631,409","+16,557","258,362",N/A,"152,846","2,717","273,400,000","1,875,095","145,805,947 ",Europe,7,368,1,92,0.3,"1,772",2023-03-01
12,Turkey,"17,042,722",,"101,492                                ",,N/A,N/A,N/A,,"199,186","1,186","162,743,369","1,902,052","85,561,976 ",Asia,5,843,1,,,"1,819",2023-03-01
13,Spain,"13,763,336",,"119,380                                ",,"13,607,068",,"36,888",231,"294,597","2,555","471,036,328","10,082,298","46,719,142 ",Europe,3,391,0,,,790,2023-03-01
14,Vietnam,"11,526,926",+9,"43,186                                ",,"10,614,777",+8,"868,963",2,"116,488",436,"85,826,548","867,342","98,953,541 ",Asia,9,"2,291",1,0.09,,"8,782",2023-03-01
15,Australia,"11,366,361",,"19,373                                ",,"11,314,814",,"32,174",36,"436,014",743,"78,835,048","3,024,116","26,068,792 ",Australia/Oceania,2,"1,346",0,,,"1,234",2023-03-01
16,Taiwan,"10,055,436","+12,209","17,975                                ",+27,"9,736,050","+20,872","301,411",,"420,930",752,"30,742,304","1,286,903","23,888,595 ",Asia,2,"1,329",1,511,1,"12,617",2023-03-01
17,Argentina,"10,044,125",,"130,463                                ",,"9,909,866",,"3,796",363,"218,302","2,836","35,716,069","776,264","46,010,234 ",South America,5,353,1,,,83,2023-03-01
18,Netherlands,"8,596,296",,"22,992                                ",,"8,558,816",,"14,488",53,"499,452","1,336","25,984,435","1,509,718","17,211,447 ",Europe,2,749,1,,,842,2023-03-01
19,Iran,"7,568,903",+997,"144,858                                ",+13,"7,339,457",+92,"84,588",301,"87,987","1,684","55,034,937","639,771","86,022,837 ",Asia,11,594,2,12,0.2,983,2023-03-01
20,Mexico,"7,451,429",,"332,988                                ",,"6,690,914",,"427,527",N/A,"56,638","2,531","19,572,325","148,768","131,562,772 ",North America,18,395,7,,,"3,250",2023-03-01
21,Indonesia,"6,736,298",+252,"160,916                                ",+2,"6,571,845",+153,"3,537",N/A,"24,133",576,"114,158,919","408,975","279,134,505 ",Asia,41,"1,735",2,0.9,0.01,13,2023-03-01
22,Poland,"6,422,464","+2,989","118,898                                ",+14,"5,335,940",,"967,626",696,"170,178","3,150","38,279,634","1,014,305","37,739,785 ",Europe,6,317,1,79,0.4,"25,639",2023-03-01
23,Colombia,"6,360,089",+625,"142,629                                ",+14,"6,183,658","+1,354","33,802",342,"123,466","2,769","36,951,507","717,327","51,512,762 ",South America,8,361,1,12,0.3,656,2023-03-01
24,Austria,"5,919,616","+7,845","21,891                                ",,"5,840,825","+3,925","56,900",86,"652,896","2,414","211,273,524","23,302,116","9,066,710 ",Europe,2,414,0,865,,"6,276",2023-03-01
25,Greece,"5,871,458",,"36,185                                ",,"5,804,980","+1,599","30,293",115,"569,125","3,507","102,228,365","9,909,078","10,316,637 ",Europe,2,285,0,,,"2,936",2023-03-01
26,Portugal,"5,568,084",,"26,180                                ",,"5,537,790",,"4,114",61,"549,090","2,582","45,980,330","4,534,294","10,140,570 ",Europe,2,387,0,,,406,2023-03-01
27,Ukraine,"5,389,439",,"111,235                                ",,"5,265,637","+3,708","12,567",,"124,778","2,575","32,603,805","754,855","43,192,122 ",Europe,8,388,1,,,291,2023-03-01
28,Chile,"5,169,139","+2,811","64,177                                ",+1,"5,099,538","+2,091","5,424",85,"268,524","3,334","48,454,162","2,517,074","19,250,195 ",South America,4,300,0,146,0.05,282,2023-03-01
29,Malaysia,"5,043,008",+217,"36,960                                ",+2,"4,996,818",+233,"9,230",7,"151,984","1,114","68,198,303","2,055,338","33,181,072 ",Asia,7,898,0,7,0.06,278,2023-03-01
30,Israel,"4,799,640",+357,"12,292                                ",+2,"4,781,252",,"6,096",57,"514,652","1,318","41,373,364","4,436,346","9,326,000 ",Asia,2,759,0,38,0.2,654,2023-03-01
31,DPRK,"4,772,813",,74                                ,,"4,772,739",,0,,"183,636",3,,,"25,990,679 ",Asia,5,"351,225",,,,,2023-03-01
32,Thailand,"4,728,035",,"33,911                                ",,"4,692,636",,"1,488",N/A,"67,468",484,"17,270,775","246,450","70,078,203 ",Asia,15,"2,067",4,,,21,2023-03-01
33,Belgium,"4,717,655",,"33,717                                ",,"4,659,455",+558,"24,483",43,"404,315","2,890","36,709,556","3,146,099","11,668,278 ",Europe,2,346,0,,,"2,098",2023-03-01
34,Czechia,"4,611,006","+1,173","42,445                                ",+1,"4,558,330",+202,"10,231",38,"429,459","3,953","56,998,352","5,308,699","10,736,784 ",Europe,2,253,0,109,0.09,953,2023-03-01
35,Canada,"4,591,149",,"51,249                                ",,"4,500,536","+1,341","39,364",99,"119,597","1,335","66,343,123","1,728,207","38,388,419 ",North America,8,749,1,,,"1,025",2023-03-01
36,Peru,"4,486,034",+281,"219,439                                ",+8,"4,264,598",+264,"1,997",38,"133,179","6,515","38,041,008","1,129,343","33,684,208 ",South America,8,154,1,8,0.2,59,2023-03-01
37,Switzerland,"4,389,655",,"14,452                                ",,"4,371,249",,"3,954",39,"500,323","1,647","23,833,472","2,716,487","8,773,637 ",Europe,2,607,0,,,451,2023-03-01
38,Philippines,"4,076,418",+121,"66,118                                ",+7,"4,001,070",+99,"9,230",162,"36,232",588,"34,603,075","307,558","112,508,994 ",Asia,28,"1,702",3,1,0.06,82,2023-03-01
39,South Africa,"4,063,863",+290,"102,595                                ",,"3,912,506",,"48,762",192,"66,888","1,689","26,795,090","441,027","60,756,135 ",Africa,15,592,2,5,,803,2023-03-01
40,Romania,"3,340,342",,"67,704                                ",,"3,263,301","+3,200","9,337",115,"175,518","3,558","26,676,248","1,401,701","19,031,335 ",Europe,6,281,1,,,491,2023-03-01
41,Denmark,"3,175,264",+69,"8,269                                ",+4,"3,166,080",+68,915,19,"544,180","1,417","129,197,382","22,141,986","5,834,950 ",Europe,2,706,0,12,0.7,157,2023-03-01
42,Hong Kong,"2,883,453",+107,"13,460                                ",+3,"2,848,855","+1,981","21,138",28,"379,187","1,770","76,127,725","10,011,143","7,604,299 ",Asia,3,565,0,14,0.4,"2,780",2023-03-01
43,Sweden,"2,697,827",,"23,633                                ",,"2,670,647",+70,"3,547",9,"264,002","2,313","19,469,139","1,905,196","10,218,971 ",Europe,4,432,1,,,347,2023-03-01
44,Serbia,"2,492,563",,"17,826                                ",,"2,460,904",,"13,833",16,"288,057","2,060","12,396,861","1,432,664","8,653,016 ",Europe,3,485,1,,,"1,599",2023-03-01
45,Iraq,"2,465,545",,"25,375                                ",,"2,439,497",,673,21,"58,474",602,"19,544,451","463,523","42,164,965 ",Asia,17,"1,662",2,,,16,2023-03-01
46,Singapore,"2,222,006",,"1,722                                ",,"2,149,583",,"70,701",1,"373,852",290,"24,756,666","4,165,302","5,943,546 ",Asia,3,"3,452",0,,,"11,895",2023-03-01
47,New Zealand,"2,216,852",,"3,904                                ",,"2,205,354",,"7,594",,"452,585",797,"7,768,604","1,586,011","4,898,203 ",Australia/Oceania,2,"1,255",1,,,"1,550",2023-03-01
48,Hungary,"2,195,926",+957,"48,751                                ",+6,"2,143,184",+502,"3,991",13,"228,593","5,075","11,394,556","1,186,160","9,606,259 ",Europe,4,197,1,100,0.6,415,2023-03-01
49,Bangladesh,"2,037,829",+11,"29,445                                ",,"1,998,448",,"9,936",N/A,"12,138",175,"15,254,399","90,862","167,885,689 ",Asia,82,"5,702",11,0.07,,59,2023-03-01
50,Slovakia,"1,863,022",+133,"21,024                                ",+3,"1,840,809",+122,"1,189",20,"341,201","3,850","7,403,776","1,355,955","5,460,193 ",Europe,3,260,1,24,0.5,218,2023-03-01
51,Georgia,"1,825,598",,"16,965                                ",,"1,776,548",,"32,085",,"459,995","4,275","16,920,079","4,263,340","3,968,738 ",Asia,2,234,0,,,"8,084",2023-03-01
52,Jordan,"1,746,997",,"14,122                                ",,"1,731,007",,"1,868",59,"169,597","1,371","17,201,885","1,669,945","10,300,869 ",Asia,6,729,1,,,181,2023-03-01
53,Ireland,"1,703,850",,"8,691                                ",,"1,692,188",+9,"2,971",11,"339,399","1,731","13,024,205","2,594,360","5,020,199 ",Europe,3,578,0,,,592,2023-03-01
54,Pakistan,"1,576,999",+37,"30,643                                ",,"1,538,689",,"7,667",13,"6,872",134,"30,570,862","133,213","229,488,994 ",Asia,146,"7,489",8,0.2,,33,2023-03-01
55,Norway,"1,479,087",+55,"5,175                                ",,"1,473,283",+67,629,20,"268,370",939,"11,002,430","1,996,315","5,511,370 ",Europe,4,"1,065",1,10,,114,2023-03-01
56,Finland,"1,462,169",,"8,892                                ",,"1,451,864",+86,"1,413",21,"263,219","1,601","12,047,792","2,168,835","5,554,960 ",Europe,4,625,0,,,254,2023-03-01
57,Kazakhstan,"1,407,942",+119,"13,846                                ",,"1,383,020",,"11,076",24,"73,311",721,"11,575,012","602,707","19,205,043 ",Asia,14,"1,387",2,6,,577,2023-03-01
58,Slovenia,"1,328,673",+435,"7,071                                ",,"1,317,563",+298,"4,039",6,"639,389","3,403","2,837,735","1,365,586","2,078,034 ",Europe,2,294,1,209,,"1,944",2023-03-01
59,Lithuania,"1,305,178",+391,"9,589                                ",,"1,289,728",+389,"5,861",6,"490,354","3,603","10,379,366","3,899,513","2,661,708 ",Europe,2,278,0,147,,"2,202",2023-03-01
60,Bulgaria,"1,296,853",,"38,217                                ",,"1,255,662",,"2,974",27,"189,471","5,584","11,055,587","1,615,228","6,844,597 ",Europe,5,179,1,,,435,2023-03-01
61,Morocco,"1,272,459",+5,"16,296                                ",,"1,256,097",+6,66,3,"33,687",431,"12,984,777","343,760","37,772,756 ",Africa,30,"2,318",3,0.1,,2,2023-03-01
62,Croatia,"1,268,992",,"17,971                                ",,"1,250,549",,472,10,"312,615","4,427","5,503,682","1,355,825","4,059,286 ",Europe,3,226,1,,,116,2023-03-01
63,Guatemala,"1,236,778",+372,"20,176                                ",+3,"1,215,452",+375,"1,150",5,"66,551","1,086","6,934,193","373,126","18,584,039 ",North America,15,921,3,20,0.2,62,2023-03-01
64,Lebanon,"1,232,063",+223,"10,832                                ",+4,"1,087,587",,"133,644",74,"184,307","1,620","4,795,578","717,380","6,684,849 ",Asia,5,617,1,33,0.6,"19,992",2023-03-01
65,Costa Rica,"1,204,164","+5,109","9,230                                ",+16,"860,711",,"334,223",52,"232,358","1,781","4,659,757","899,158","5,182,354 ",North America,4,561,1,986,3,"64,493",2023-03-01
66,Bolivia,"1,193,256",+247,"22,365                                ",,"1,158,072",+432,"12,819",220,"99,499","1,865","2,705,422","225,590","11,992,656 ",South America,10,536,4,21,,"1,069",2023-03-01
67,Tunisia,"1,150,962",,"29,331                                ",,N/A,N/A,N/A,44,"95,542","2,435","5,002,248","415,240","12,046,656 ",Africa,10,411,2,,,965,2023-03-01
68,Cuba,"1,112,603",+5,"8,530                                ",,"1,103,980",+3,93,,"98,411",754,"14,318,158","1,266,460","11,305,652 ",North America,10,"1,325",1,0.4,,8,2023-03-01
69,Ecuador,"1,057,121",+543,"36,014                                ",+6,"1,020,570",,537,759,"58,361","1,988","3,082,403","170,173","18,113,361 ",South America,17,503,6,30,0.3,30,2023-03-01
70,UAE,"1,052,029",+31,"2,349                                ",,"1,035,173",,"14,507",,"104,349",233,"199,225,612","19,760,946","10,081,785 ",Asia,10,"4,292",0,3,,"1,439",2023-03-01
71,Uruguay,"1,034,303",,"7,617                                ",,"1,026,186",,500,18,"295,852","2,179","6,114,822","1,749,083","3,496,016 ",South America,3,459,1,,,143,2023-03-01
72,Panama,"1,031,273",,"8,604                                ",,"1,022,299",,370,16,"231,905","1,935","7,532,271","1,693,801","4,446,964 ",North America,4,517,1,,,83,2023-03-01
73,Mongolia,"1,007,897",+1,"2,179                                ",,"1,005,711",,7,192,"298,364",645,"4,030,048","1,193,000","3,378,078 ",Asia,3,"1,550",1,0.3,,2,2023-03-01
74,Nepal,"1,001,148",+3,"12,020                                ",,"989,117",,11,,"33,123",398,"6,013,666","198,959","30,225,582 ",Asia,30,"2,515",5,0.10,,0.4,2023-03-01
75,Belarus,"994,037",,"7,118                                ",,"985,592",,"1,327",,"105,381",755,"13,646,641","1,446,722","9,432,800 ",Europe,9,"1,325",1,,,141,2023-03-01
76,Latvia,"976,031",+32,"6,242                                ",+1,"969,467",+32,322,13,"527,916","3,376","7,864,859","4,253,949","1,848,837 ",Europe,2,296,0,17,0.5,174,2023-03-01
77,Saudi Arabia,"829,554",+76,"9,615                                ",,"816,776",+47,"3,163",38,"23,143",268,"45,148,294","1,259,546","35,844,909 ",Asia,43,"3,728",1,2,,88,2023-03-01
78,Azerbaijan,"828,588",+40,"10,119                                ",,"818,310",+29,159,,"80,444",982,"7,526,899","730,752","10,300,205 ",Asia,12,"1,018",1,4,,15,2023-03-01
79,Paraguay,"808,327",,"19,870                                ",,N/A,N/A,N/A,7,"110,641","2,720","2,657,506","363,751","7,305,843 ",South America,9,368,3,,,"12,338",2023-03-01
80,Bahrain,"707,828",+348,"1,549                                ",+1,"706,013",,266,6,"396,768",868,"10,739,428","6,019,916","1,783,983 ",Asia,3,"1,152",0,195,0.6,149,2023-03-01
81,Sri Lanka,"672,031",+1,"16,830                                ",,"655,199",+1,2,,"31,147",780,"6,486,117","300,619","21,575,842 ",Asia,32,"1,282",3,0.05,,0.09,2023-03-01
82,Kuwait,"663,456",,"2,570                                ",,"660,237",,649,,"151,463",587,"8,455,743","1,930,391","4,380,326 ",Asia,7,"1,704",1,,,148,2023-03-01
83,Dominican Republic,"660,705",+172,"4,384                                ",,"644,785",,"11,536",4,"59,758",397,"3,740,928","338,350","11,056,370 ",North America,17,"2,522",3,16,,"1,043",2023-03-01
84,Cyprus,"649,093",,"1,305                                ",,"642,855",,"4,933",60,"530,570","1,067","9,640,118","7,879,860","1,223,387 ",Asia,2,937,0,,,"4,032",2023-03-01
85,Myanmar,"633,925",+7,"19,490                                ",,"614,400",+1,35,,"11,479",353,"10,057,159","182,105","55,227,143 ",Asia,87,"2,834",5,0.1,,0.6,2023-03-01
86,Palestine,"621,008",,"5,404                                ",,"615,445",,159,17,"116,173","1,011","3,078,533","575,907","5,345,541 ",Asia,9,989,2,,,30,2023-03-01
87,Estonia,"615,119",,"2,940                                ",,"524,990",,"87,189",3,"465,326","2,224","3,675,293","2,780,290","1,321,910 ",Europe,2,450,0,,,"65,957",2023-03-01
88,Moldova,"607,450","+3,700","11,988                                ",+14,"504,142",,"91,320",49,"151,364","2,987","3,216,305","801,437","4,013,171 ",Europe,7,335,1,922,3,"22,755",2023-03-01
89,Venezuela,"551,986",+5,"5,854                                ",+1,"545,878",+7,254,36,"18,860",200,"3,359,014","114,771","29,266,991 ",South America,53,"4,999",9,0.2,0.03,9,2023-03-01
90,Egypt,"515,698",,"24,613                                ",,"442,182",,"48,903",122,"4,858",232,"3,693,367","34,792","106,156,692 ",Africa,206,"4,313",29,,,461,2023-03-01
91,Libya,"507,174",,"6,437                                ",,"500,734",,3,,"72,034",914,"2,483,676","352,758","7,040,745 ",Africa,14,"1,094",3,,,0.4,2023-03-01
92,Ethiopia,"499,986",,"7,572                                ",,"487,246",,"5,168",1,"4,139",63,"5,488,633","45,431","120,812,698 ",Africa,242,"15,955",22,,,43,2023-03-01
93,Qatar,"494,271",+104,686                                ,,"493,138",+122,447,30,"165,867",230,"4,065,369","1,364,257","2,979,915 ",Asia,6,"4,344",1,35,,150,2023-03-01
94,Réunion,"486,588",,921                                ,,"418,572",,"67,095",10,"535,854","1,014","1,603,660","1,766,027","908,061 ",Africa,2,986,1,,,"73,888",2023-03-01
95,Honduras,"472,116",,"11,111                                ",,N/A,N/A,N/A,105,"46,190","1,087","1,633,222","159,787","10,221,247 ",North America,22,920,6,,,"32,135",2023-03-01
96,Armenia,"446,819",,"8,721                                ",,"435,162",,"2,936",,"150,345","2,934","3,242,901","1,091,164","2,971,966 ",Asia,7,341,1,,,988,2023-03-01
97,Bosnia and Herzegovina,"401,636",+61,"16,279                                ",+1,"379,084",,"6,273",,"123,606","5,010","1,884,721","580,036","3,249,317 ",Europe,8,200,2,19,0.3,"1,931",2023-03-01
98,Oman,"399,449",,"4,628                                ",,"384,669",,"10,152",2,"75,028",869,"25,000,000","4,695,724","5,323,993 ",Asia,13,"1,150",0,,,"1,907",2023-03-01
99,North Macedonia,"346,852",,"9,662                                ",,"337,068",,122,,"166,651","4,642","2,226,216","1,069,626","2,081,304 ",Europe,6,215,1,,,59,2023-03-01
100,Zambia,"343,012",,"4,057                                ",,"338,660",,295,,"17,617",208,"3,934,010","202,053","19,470,234 ",Africa,57,"4,799",5,,,15,2023-03-01
101,Kenya,"342,919",+7,"5,688                                ",,"337,216",+18,15,1,"6,100",101,"3,967,062","70,569","56,215,221 ",Africa,164,"9,883",14,0.1,,0.3,2023-03-01
102,Albania,"334,408",+17,"3,596                                ",,"329,152",+7,"1,660",,"116,666","1,255","1,941,032","677,173","2,866,374 ",Europe,9,797,1,6,,579,2023-03-01
103,Botswana,"329,727",,"2,801                                ",,"326,868",,58,1,"135,070","1,147","2,026,898","830,300","2,441,162 ",Africa,7,872,1,,,24,2023-03-01
104,Luxembourg,"297,757",,"1,133                                ",,"288,991",,"7,633",,"463,528","1,764","4,412,567","6,869,188","642,371 ",Europe,2,567,0,,,"11,883",2023-03-01
105,Montenegro,"288,361",+81,"2,804                                ",,"284,815",+103,742,6,"459,210","4,465","2,717,787","4,328,031","627,950 ",Europe,2,224,0,129,,"1,182",2023-03-01
106,Brunei ,"278,698",,225                                ,,"243,601",,"34,872",,"625,682",505,"717,784","1,611,437","445,431 ",Asia,2,"1,980",1,,,"78,288",2023-03-01
107,Algeria,"271,448",+7,"6,881                                ",,"182,794",+1,"81,773",,"5,986",152,"230,861","5,091","45,350,148 ",Africa,167,"6,591",196,0.2,,"1,803",2023-03-01
108,Nigeria,"266,598",+5,"3,155                                ",,"259,917",+67,"3,526",11,"1,230",15,"5,708,974","26,339","216,746,934 ",Africa,813,"68,700",38,0.02,,16,2023-03-01
109,Zimbabwe,"264,127",+206,"5,668                                ",+5,"257,839",+634,620,12,"17,228",370,"2,525,756","164,744","15,331,428 ",Africa,58,"2,705",6,13,0.3,40,2023-03-01
110,Uzbekistan,"251,071",+139,"1,637                                ",,"241,486",,"7,948",23,"7,302",48,"1,377,915","40,077","34,382,084 ",Asia,137,"21,003",25,4,,231,2023-03-01
111,Mozambique,"233,098",,"2,242                                ",,"228,805",,"2,051",11,"7,044",68,"1,371,127","41,437","33,089,461 ",Africa,142,"14,759",24,,,62,2023-03-01
112,Martinique,"229,807",,"1,098                                ",,N/A,N/A,N/A,12,"614,314","2,935","828,928","2,215,870","374,087 ",North America,2,341,0,,,"611,101",2023-03-01
113,Laos,"218,015",,758                                ,,N/A,N/A,N/A,,"29,142",101,"1,233,207","164,845","7,481,023 ",Asia,34,"9,869",6,,,"28,017",2023-03-01
114,Afghanistan,"209,340",+17,"7,896                                ",,"191,053",+42,"10,391",45,"5,137",194,"1,201,044","29,470","40,754,388 ",Asia,195,"5,161",34,0.4,,255,2023-03-01
115,Iceland,"209,093",,229                                ,,N/A,N/A,N/A,2,"605,377",663,"1,996,384","5,780,036","345,393 ",Europe,2,"1,508",0,,,"385,587",2023-03-01
116,Kyrgyzstan,"206,673",+40,"2,991                                ",,"196,406",,"7,276",131,"30,717",445,"1,907,195","283,460","6,728,271 ",Asia,33,"2,250",4,6,,"1,081",2023-03-01
117,Guadeloupe,"201,852",,"1,010                                ",,N/A,N/A,N/A,19,"504,890","2,526","938,039","2,346,306","399,794 ",North America,2,396,0,,,"496,736",2023-03-01
118,El Salvador,"201,785",,"4,230                                ",,"179,410",,"18,145",8,"30,805",646,"2,610,114","398,467","6,550,389 ",North America,32,"1,549",3,,,"2,770",2023-03-01
119,Trinidad and Tobago,"189,296",,"4,347                                ",,"184,553",,396,8,"134,578","3,090","898,169","638,546","1,406,585 ",North America,7,324,2,,,282,2023-03-01
120,Maldives,"185,732",,311                                ,,"163,687",,"21,734",25,"343,322",575,"2,213,831","4,092,223","540,985 ",Asia,3,"1,740",0,,,"40,175",2023-03-01
121,Ghana,"171,172",,"1,462                                ",,"169,697",,13,2,"5,284",45,"2,529,956","78,096","32,395,450 ",Africa,189,"22,158",13,,,0.4,2023-03-01
122,Namibia,"171,156",,"4,090                                ",,"166,776",,290,,"64,983","1,553","1,062,663","403,460","2,633,874 ",Africa,15,644,2,,,110,2023-03-01
123,Uganda,"170,504",,"3,630                                ",,"100,431",,"66,443",3,"3,520",75,"3,012,408","62,198","48,432,863 ",Africa,284,"13,342",16,,,"1,372",2023-03-01
124,Jamaica,"154,196",,"3,502                                ",,"102,393",,"48,301",,"51,655","1,173","1,183,986","396,633","2,985,094 ",North America,19,852,3,,,"16,181",2023-03-01
125,Cambodia,"138,717",,"3,056                                ",,"135,656",,5,,"8,080",178,"3,091,420","180,062","17,168,639 ",Asia,124,"5,618",6,,,0.3,2023-03-01
126,Rwanda,"133,180",,"1,468                                ",,"131,634",,78,,"9,792",108,"6,021,981","442,778","13,600,464 ",Africa,102,"9,265",2,,,6,2023-03-01
127,Cameroon,"124,392",,"1,965                                ",,"122,344",,83,13,"4,457",70,"1,751,774","62,762","27,911,548 ",Africa,224,"14,204",16,,,3,2023-03-01
128,Malta,"117,477",,827                                ,,"116,028",,622,4,"264,568","1,862","2,117,102","4,767,893","444,033 ",Europe,4,537,0,,,"1,401",2023-03-01
129,Barbados,"106,645",,575                                ,,"106,057",,13,,"370,266","1,996","794,426","2,758,203","288,023 ",North America,3,501,0,,,45,2023-03-01
130,Angola,"105,277",+22,"1,933                                ",,"103,317",+19,27,,"3,006",55,"1,499,795","42,818","35,027,343 ",Africa,333,"18,121",23,0.6,,0.8,2023-03-01
131,Channel Islands,"101,382",,227                                ,,"101,029",,126,,"574,523","1,286","1,252,808","7,099,551","176,463 ",Europe,2,777,0,,,714,2023-03-01
132,French Guiana,"98,041",,420                                ,,"11,254",,"86,367",6,"312,065","1,337","651,257","2,072,951","314,169 ",South America,3,748,0,,,"274,906",2023-03-01
133,DRC,"95,749",+103,"1,464                                ",,"84,321",+39,"9,964",,"1,005",15,"846,704","8,890","95,240,792 ",Africa,995,"65,055",112,1,,105,2023-03-01
134,Senegal,"88,921",+4,"1,971                                ",,"86,947",+9,3,,"5,037",112,"1,146,543","64,946","17,653,671 ",Africa,199,"8,957",15,0.2,,0.2,2023-03-01
135,Malawi,"88,702",+21,"2,686                                ",,"85,580",+38,436,67,"4,395",133,"624,784","30,959","20,180,839 ",Africa,228,"7,513",32,1,,22,2023-03-01
136,Ivory Coast,"88,208",+11,834                                ,,"87,342",+15,32,,"3,180",30,"1,679,087","60,524","27,742,298 ",Africa,315,"33,264",17,0.4,,1,2023-03-01
137,Suriname,"82,467",+240,"1,404                                ",+4,N/A,N/A,N/A,,"138,175","2,352","241,357","404,398","596,831 ",South America,7,425,2,402,7,"52,464",2023-03-01
138,New Caledonia,"79,881",,314                                ,,"79,558",,9,9,"274,585","1,079","98,964","340,182","290,915 ",Australia/Oceania,4,926,3,,,31,2023-03-01
139,French Polynesia,"77,957",,649                                ,,N/A,N/A,N/A,7,"274,338","2,284",,,"284,164 ",Australia/Oceania,4,438,,,,"154,164",2023-03-01
140,Eswatini,"74,199",,"1,423                                ",,"72,726",,50,,"62,625","1,201","1,048,704","885,119","1,184,817 ",Africa,16,833,1,,,42,2023-03-01
141,Guyana,"73,069",,"1,298                                ",,"71,752",,19,,"92,021","1,635","721,841","909,068","794,045 ",South America,11,612,1,,,24,2023-03-01
142,Belize,"70,757",,688                                ,,"70,056",,13,6,"171,661","1,669","576,016","1,397,453","412,190 ",North America,6,599,1,,,32,2023-03-01
143,Fiji,"68,889",,883                                ,,"66,850",,"1,156",,"75,747",971,"668,445","734,986","909,466 ",Australia/Oceania,13,"1,030",1,,,"1,271",2023-03-01
144,Madagascar,"67,865",,"1,422                                ",,"66,433",,10,,"2,326",49,"525,461","18,009","29,178,077 ",Africa,430,"20,519",56,,,0.3,2023-03-01
145,Sudan,"63,809",+22,"5,013                                ",+2,"58,462",+24,334,,"1,387",109,"562,941","12,240","45,992,020 ",Africa,721,"9,175",82,0.5,0.04,7,2023-03-01
